title,description,category,image_link,read_link
Manchester United face moral dilemma over Greenwood,"After Mason Greenwood’s attempted rape and assault charges were dropped by the Crown Prosecution Service on Thursday, ...",Uncategorized,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2022/10/Untitled-4-10-200x200.jpg,https://www.chronicle.co.zw/manchester-united-face-moral-dilemma-over-greenwood/
BCC to blame for bad roads in Bulawayo,"Thandeka Moyo-Ndlovu, Senior Reporter BULAWAYO Secretary for Provincial Affairs and Devolution Mr Paul Nyoni has ...",Local News,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2022/12/fgbvbvb-200x200.jpg,https://www.chronicle.co.zw/bcc-to-blame-for-bad-roads-in-bulawayo/
LA Beatz ready to work with local artistes,"Mbulelo Mpofu, Showbiz Reporter MUSIC is therapeutic. It numbs the pain, soothes heartaches, gets one fired up, ...",Entertainment,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2023/02/Untitled-33-1-200x200.jpg,https://www.chronicle.co.zw/la-beatz-ready-to-work-with-local-artistes/
Zimbabwe ready for Windies Test: Craig Ervine,"Brandon Moyo, Sports Reporter ZIMBABWE Cricket Test captain, Craig Ervine has said his side is ready to face West Indies ...",Sport,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2023/02/sxazsa-200x200.jpg,https://www.chronicle.co.zw/zimbabwe-ready-for-windies-test-craig-ervine/
Could he be Bulawayo’s best barber?,"Brandon Moyo, Chronicle Reporter Barber Ramesh Babu is the richest barber in the world and is considered the best. Abel ...",Local News,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2023/02/errreere-1-200x200.jpg,https://www.chronicle.co.zw/could-he-be-bulawayos-best-barber/
Zimsec nullifies results for 4 961 O-Level candidates,"Sikhumbuzo Moyo, Senior Reporter THE 2022 Zimbabwe Schools Examination Council (Zimsec) Ordinary Level results were ...",Local News,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2022/04/ZIMSEC-200x200.jpg,https://www.chronicle.co.zw/zimsec-nullifies-results-for-4-961-o-level-candidates/
Another PSL test for Sheasham,"Ricky Zililo, Senior Sports Reporter NEWLY promoted Gweru-based Premiership side Sheasham will get another test of ...",Sport,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2023/02/w232q-200x200.jpg,https://www.chronicle.co.zw/another-psl-test-for-sheasham/
Experience the fruity flavours of the passion fruit Lagoon,"Drink of the week with Peter Matika IT’S yellow in colour, and has a fruity and sweet-scented aroma. It’s a passion ...",Entertainment,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2023/02/Untitled-4-copy-200x200.jpg,https://www.chronicle.co.zw/experience-the-fruity-flavours-of-the-passion-fruit-lagoon/
"Zesa, NetOne partner to provide 17 000 smart meters","Ivan Zhakata, Harare Bureau ZESA, through its distribution subsidiary, ZETDC, has partnered with NetOne to provide over ...",Local News,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2022/05/Untitled-17-13-200x200.jpg,https://www.chronicle.co.zw/zesa-netone-partner-to-provide-17-000-smart-meters/
Brigadier General (Rtd) Epmarcus Walter Kanhanga stalwart of the armed liberation struggle: President Mnangagwa,"Nqobile Bhebhe, Senior Reporter PRESIDENT Mnangagwa has described Brigadier General (Rtd) Epmarcus Walter Kanhanga as a ...",Local News,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2023/01/lopiolik-200x200.jpg,https://www.chronicle.co.zw/brigadier-general-rtd-epmarcus-walter-kanhanga-stalwart-of-the-armed-liberation-struggle-president-mnangagwa/
Form 3 pupil collapses and dies during sports in Bulawayo,"Flora Fadzai Sibanda, Chronicle Reporter  A FORM THREE pupil died on Thursday at Maranatha High School in Nketa suburb ...",Local News,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2023/02/download-200x200.jpg,https://www.chronicle.co.zw/form-3-pupil-collapses-and-dies-during-sports-in-bulawayo/
"$20bn worth of gold coins sold, no plans to withdraw them soon – RBZ","Nqobile Bhebhe, Senior Business Reporter RESERVE Bank of Zimbabwe (RBZ) Governor, Dr John Mangudya, says a total of 25 ...",Business,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2022/07/ewgg-200x200.jpg,https://www.chronicle.co.zw/20bn-worth-of-gold-coins-sold-no-plans-to-withdraw-them-soon-rbz/
Solusi University embarks on countrywide student mobile recruitment,"Leonard Ncube, Online Reporter SOLUSI University has embarked on a countrywide mobile student recruitment exercise to ...",Local News,https://www.chronicle.co.zw/wp-content/uploads/sites/3/2023/02/887ea37a-8ac4-4e7f-a1d6-eefd12cd7d81-200x200.jpg,https://www.chronicle.co.zw/solusi-university-embarks-on-countrywide-student-mobile-recruitment/
